MMAU58877468ST	MMAU39257528ST	SAMN05930823	SAMN05930824	SAMN05930830	SAMN05930831	SAMN05930832	SAMN05930833	SAMN05578592	SAMN05578586	SAMN05578587	SAMN05578588	SAMN05578589	SAMN05578590	SAMN05578591	SAMN12711642	SAMN12711643	SAMN12711644	SAMN12711645	SAMN12711646	SAMN12711647	SAMN12711648	SAMN12711649	SAMN12711650	SAMN12711651	SAMN12711652	SAMN12711653	SAMN12711654	SAMN12711655	SAMN12711656	SAMN12711657	SAMN12711658	SAMN12711659	SAMN12711660	SAMN12711661	SAMN12711662	SAMN12711663	SAMN12711664	SAMN12711665	SAMN12711672	SAMN12711682	SAMN12711687	SAMN12711701	SAMN12711702	SAMN12711703	SAMN12711704	SAMN12711705	SAMN08110868	SAMN08110869	SAMN08110872	SAMN08110873	SAMN08110875	SAMN08110876	SAMN08110878	SAMN08110879	SAMN08110881	SAMN08110882	SAMN08110884	SAMN08110885	SAMN08110887	SAMN08110888	SAMN08110889	SAMN08110891	SAMN08110892	SAMEA104393725	SAMEA104393727	SAMEA104393790	SAMEA104393791	SAMEA104393734	SAMEA104393794	SAMEA104393700	SAMEA104393740	SAMEA104393741	SAMEA104393705	SAMEA104393746	SAMEA104393708	SAMEA104393753	SAMEA104393756	SAMEA104393762	SAMEA104393764	SAMEA104393768	SAMEA104393772	SAMEA104393773	SAMEA104393777	SAMEA104393781	SAMEA104393784	SAMN09534387	SAMN09534388	SAMN09534389	SAMN09534390	SAMN09534391	SAMN09534392	SAMN09534393	SAMN09534394	SAMN09534395	SAMN09534398	SAMN04126171	SAMN04126173	SAMN04126215	SAMN04126294	SAMN05578579	SAMN05578580	SAMN05578581	SAMN05578582	SAMN05578583	SAMN05578584	SAMN12711606	SAMN12711607	SAMN12711608	SAMN12711609	SAMN12711610	SAMN12711611	SAMN12711612	SAMN12711613	SAMN12711614	SAMN12711615	SAMN12711616	SAMN12711617	SAMN12711618	SAMN12711619	SAMN12711620	SAMN12711621	SAMN12711622	SAMN12711623	SAMN12711624	SAMN12711625	SAMN12711626	SAMN12711627	SAMN12711628	SAMN12711629	SAMN12711630	SAMN12711631	SAMN12711632	SAMN12711633	SAMN12711634	SAMN12711635	SAMN12711636	SAMN12711637	SAMN12711638	SAMN12711639	SAMN12711640	SAMN12711641	SAMN12711666	SAMN12711667	SAMN12711668	SAMN12711669	SAMN12711670	SAMN12711671	SAMN12711673	SAMN12711674	SAMN12711675	SAMN12711676	SAMN12711677	SAMN12711678	SAMN12711679	SAMN12711684	SAMN12711685	SAMN12711686	SAMN12711688	SAMN12711690	SAMN12711691	SAMN12711692	SAMN12711693	SAMN12711694	SAMN12711695	SAMN12711696	SAMN12711697	SAMN12711698	SAMN12711699	SAMN12711700	SAMN12711706	SAMN12711707	SAMN12711708	SAMN12711709	SAMN12711710	SAMN08110867	SAMN08110870	SAMN08110871	SAMN08110874	SAMN08110877	SAMN08110880	SAMN08110883	SAMN08110886	SAMN08110890	SAMEA104393711	SAMEA104393712	SAMEA104393717	SAMEA104393722	SAMN09534375	SAMN09534376	SAMN09534377	SAMN09534378	SAMN09534379	SAMN09534380	SAMN09534381	SAMN09534382	SAMN09534384	SAMN09534385	SAMN09534386	SAMN09534396	SAMN09534399	SAMN09534400	SAMN04126092	SAMN04126096	SAMN04126098	SAMN04126100	SAMN04126102	SAMN04126105	SAMN04126107	SAMN04126108	SAMN04126111	SAMN04126113	SAMN04126114	SAMN04126115	SAMN04126117	SAMN04126120	SAMN04126121	SAMN04126123	SAMN04126126	SAMN04126127	SAMN04126128	SAMN04126131	SAMN04126134	SAMN04126139	SAMN04126141	SAMN04126143	SAMN04126146	SAMN04126147	SAMN04126149	SAMN04126152	SAMN04126154	SAMN04126157	SAMN04126159	SAMN04126160	SAMN04126164	SAMN04126168	SAMN04126174	SAMN04126176	SAMN04126177	SAMN04126178	SAMN04126180	SAMN04126182	SAMN04126184	SAMN04126186	SAMN04126188	SAMN04126190	SAMN04126194	SAMN04126196	SAMN04126198	SAMN04126201	SAMN04126204	SAMN04126205	SAMN04126207	SAMN04126208	SAMN04126216	SAMN04126219	SAMN04126230	SAMN04126232	SAMN04126234	SAMN04126236	SAMN04126237	SAMN04126239	SAMN04126240	SAMN04126242	SAMN04126243	SAMN04126244	SAMN04126246	SAMN04126247	SAMN04126250	SAMN04126252	SAMN04126254	SAMN04126257	SAMN04126258	SAMN04126259	SAMN04126260	SAMN04126262	SAMN04126263	SAMN04126265	SAMN04126270	SAMN04126271	SAMN04126277	SAMN04126279	SAMN04126280	SAMN04126282	SAMN04126285	SAMN04126289	SAMN04126290	SAMN04126291	SAMN04126293	SAMN04126312	SAMN04126313	SAMN04126315	SAMN04126317	SAMN04126320
Solobacterium moorei [ref_mOTU_v2_0531]	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	7.71974246939122e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	2.80717907977863e-06	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.87758874545763e-05	0	0	0	0	0	2.10538430983397e-06	0	0	0	7.01794769944656e-07	0	0	0	2.80717907977863e-06	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	4.9125633896126e-06	0	0	0	0	0	0	0	7.01794769944656e-07	0	7.01794769944656e-07	0	0	7.71974246939122e-06	0	0	0.000141060748758876	4.21076861966794e-06	0	0	0	0	1.40358953988931e-06	7.01794769944656e-07	1.12287163191145e-05	7.01794769944656e-07	0	0	0	0	0	0	0	0	1.47376901688378e-05	0
Staphylococcus epidermidis [ref_mOTU_v2_0007]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75448692486164e-05	0	0	0	0	7.01794769944656e-07	0	0	0	0	7.01794769944656e-07	7.01794769944656e-07	1.40358953988931e-06	0	0	0	1.40358953988931e-06	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	7.01794769944656e-07	7.01794769944656e-07	2.66682012578969e-05	6.80740926846317e-05	0	0	1.40358953988931e-06	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus anginosus [ref_mOTU_v2_0004]	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	5.61435815955725e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	7.01794769944656e-07	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	7.01794769944656e-07	7.01794769944656e-07	0	7.01794769944656e-07	0	2.10538430983397e-06	7.01794769944656e-07	7.01794769944656e-07	0	0	0	6.31615292950191e-06	0	0	0	0	0	7.01794769944656e-07	1.40358953988931e-06	7.01794769944656e-07	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	4.21076861966794e-06	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	7.01794769944656e-07	0	0	2.80717907977863e-06	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	1.40358953988931e-06	0	1.40358953988931e-06	0	7.01794769944656e-07	0	1.40358953988931e-06	0	7.01794769944656e-07	7.01794769944656e-07	0	0	7.01794769944656e-07	0	0	0	6.59687083747977e-05	0	0	0	1.40358953988931e-06	7.01794769944656e-07	0	0	2.10538430983397e-06	7.01794769944656e-06	0	0	0	0	1.40358953988931e-06	0	0	5.61435815955725e-06	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	7.01794769944656e-07	0	0	2.10538430983397e-06	7.01794769944656e-07	7.01794769944656e-07	7.01794769944656e-07	0	0	1.40358953988931e-06	0	0	0	7.71974246939122e-06	7.01794769944656e-07	2.10538430983397e-06	7.01794769944656e-07	4.21076861966794e-06	7.01794769944656e-07	0	0	0.000166325360476884	0	0	7.01794769944656e-07	0	0	0	0	2.80717907977863e-06	2.10538430983397e-06	7.01794769944656e-07	7.01794769944656e-07	0	0	7.01794769944656e-07	0	0	0	1.40358953988931e-06	7.01794769944656e-07
Streptococcus anginosus [ref_mOTU_v2_0005]	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	2.10538430983397e-06	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	7.01794769944656e-07	2.10538430983397e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	4.21076861966794e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	1.82466640185611e-05	0	7.01794769944656e-07	0	1.40358953988931e-06	0	0	0	7.01794769944656e-07	0	0	1.96502535584504e-05	0	0	2.80717907977863e-06	0	0	0	4.14058914267347e-05	0	0	1.40358953988931e-06	0	7.01794769944656e-07	7.1583066534355e-05	0	1.40358953988931e-06	2.80717907977863e-06	0	0	0	0	7.01794769944656e-07	0	7.01794769944656e-07	1.40358953988931e-06	0	7.01794769944656e-07	0	6.45651188349084e-05	0	0	7.01794769944656e-07	0	0	0	4.9125633896126e-06	0	0	1.40358953988931e-06	1.40358953988931e-06	6.31615292950191e-06	0	0	0	0	0	0	0	2.10538430983397e-06	7.01794769944656e-07	4.21076861966794e-06	7.01794769944656e-07	7.01794769944656e-07	1.40358953988931e-06	0	0	1.96502535584504e-05	0	7.01794769944656e-07	1.54394849387824e-05	0	0	7.01794769944656e-07	0	0.000277208934128139	2.10538430983397e-06	2.10538430983397e-06	0	0	0	7.01794769944656e-06	0	0	7.01794769944656e-07	0	7.01794769944656e-07
Streptococcus anginosus [ref_mOTU_v2_0351]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	7.01794769944656e-07	0	0	0	3.50897384972328e-06	0	0	0	0	0	0	7.01794769944656e-07	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	7.01794769944656e-07	0	2.80717907977863e-06	7.01794769944656e-07	0	0	0	0	0	0	7.71974246939122e-06	0	0	0	0	0	0	0	7.01794769944656e-07	7.01794769944656e-07	0	0	0	0	7.01794769944656e-07	0	0	7.01794769944656e-07	0	0	0	2.10538430983397e-06	0	0	0	0	0	0	7.01794769944656e-07	0	0	1.40358953988931e-06	0	7.01794769944656e-07	0	0	0	0	0	0	0	7.01794769944656e-07	0	7.01794769944656e-07	0	0	0	0	0	6.31615292950191e-06	0	0	0	0	0	0	0	4.21076861966794e-06	7.01794769944656e-07	7.01794769944656e-07	0	0	0	7.01794769944656e-07	0	0	0	0	0
Streptococcus anginosus [ref_mOTU_v2_0687]	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	2.80717907977863e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	7.01794769944656e-07	0	0	1.40358953988931e-06	7.01794769944656e-07	0	0	0	0	0	0	0	1.40358953988931e-06	7.01794769944656e-07	7.01794769944656e-07	0	2.10538430983397e-06	0	1.12287163191145e-05	7.01794769944656e-07	4.21076861966794e-06	0	0	0	7.01794769944656e-06	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	7.01794769944656e-07	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	7.01794769944656e-07	0	0	4.9125633896126e-06	0	2.10538430983397e-06	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	7.01794769944656e-07	0	0	0	2.80717907977863e-06	0	1.40358953988931e-06	7.01794769944656e-07	0	0	0	0	0	0	6.31615292950191e-06	0	0	0	0	0	2.80717907977863e-06	0	0	9.12333200928053e-06	0	0	0	0	1.40358953988931e-06	0	0	1.40358953988931e-06	0	0	0	2.80717907977863e-06	0	0	0	0	0	0	7.01794769944656e-07	0	0	1.33341006289485e-05	0	0	0	0	0	0	0	0	0	2.10538430983397e-06	0	7.01794769944656e-07	7.01794769944656e-07	7.01794769944656e-07	2.80717907977863e-06	0	0	3.43879437272882e-05	0	0	0	7.01794769944656e-07	7.01794769944656e-07	7.01794769944656e-07	0	1.33341006289485e-05	1.26323058590038e-05	7.01794769944656e-07	1.40358953988931e-06	0	0	0	0	0	0	1.40358953988931e-06	0
Streptococcus australis [ref_mOTU_v2_1524]	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	4.21076861966794e-06	0	0	0	0	0	0	0	7.01794769944656e-07	4.21076861966794e-06	0	0	0	0	0	0	0	0	0	0	4.21076861966794e-06	0	0	0	0	0	0	2.10538430983397e-06	1.40358953988931e-06	0	0	0	0	0	0	3.50897384972328e-06	7.01794769944656e-07	2.80717907977863e-06	2.10538430983397e-06	0	1.40358953988931e-06	0	1.40358953988931e-06	0	1.40358953988931e-06	0	0	0	0	0	7.01794769944656e-07	0	7.01794769944656e-07	0	0	0	7.01794769944656e-07	0	1.40358953988931e-06	7.01794769944656e-07	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	1.40358953988931e-06	1.40358953988931e-06	7.01794769944656e-07	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.80717907977863e-06	7.01794769944656e-07	0	0	0	0	2.10538430983397e-06	0	0	0	0	2.10538430983397e-06	0	2.80717907977863e-06	0	1.40358953988931e-06	0	0	7.01794769944656e-07	0	0	0	1.40358953988931e-06	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.80717907977863e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus constellatus/intermedius [ref_mOTU_v2_0143]	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	5.26346077458492e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	7.01794769944656e-07	0	7.01794769944656e-07	0	0	0	1.40358953988931e-06	0	7.01794769944656e-07	2.10538430983397e-06	7.01794769944656e-07	0	7.01794769944656e-07	0	0	0	0	0	0	1.89484587885057e-05	2.10538430983397e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	2.17556378682844e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	1.40358953988931e-06	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.12333200928053e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	2.10538430983397e-06	4.9125633896126e-06	0	0	0	0	0	0	0	2.10538430983397e-06	0	7.01794769944656e-07	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	2.80717907977863e-06	0	0	7.01794769944656e-07	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.42130705065134e-05	0
Streptococcus cristatus [ref_mOTU_v2_1525]	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	4.21076861966794e-06	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus equinus [ref_mOTU_v2_0793]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.31615292950191e-06	0	0	0	7.01794769944656e-07	0	0	0	0	7.01794769944656e-06	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0.000120006905660536	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	1.40358953988931e-06	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	2.10538430983397e-06	0	0	0	0	0	0	0	0	0	0	0	0	2.94753803376756e-05	0	4.9125633896126e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.50897384972328e-06	0	0	0	0	0	7.01794769944656e-07	0.000164921770936994	0	0	0	0	0	2.94753803376756e-05	0	0	0	0	0.000115796137040868	0	0	0.000315105851705151	0	0	0	0	0	0	7.01794769944656e-07	7.01794769944656e-07	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.21076861966794e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0
Streptococcus gordonii [ref_mOTU_v2_1398]	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	4.21076861966794e-06	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	2.80717907977863e-06	0	0	0	0	0	0	0	0	0	0	3.50897384972328e-06	6.31615292950191e-06	0	7.01794769944656e-07	2.10538430983397e-06	2.10538430983397e-06	2.10538430983397e-06	2.31592274081737e-05	0	0	0	0	3.50897384972328e-06	2.80717907977863e-06	0	1.40358953988931e-06	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	7.01794769944656e-07	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus infantis [ref_mOTU_v2_1561]	0	0	0	2.80717907977863e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	7.01794769944656e-07	0	1.40358953988931e-06	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.50897384972328e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	5.61435815955725e-06	0	0	0	1.40358953988931e-06	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
